,datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,%k,%d,macd,macd_signal,macd_hist,RSI_14,RSI_14_A_50,RSI_14_B_55,EMA10,EMA30,ATR,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,Return,OBV,OBV_EMA,RSI_14_A_41,RSI_14_B_51,Buy,Sell,RSI_31,RSI_31_A_41,RSI_31_B_51,RSI_14_B_56,RSI_31_B_56,RSI_14_A_46,RSI_31_A_46,prediction
2022-03-12 08:00:00,1647043200000.0,0.788,0.802,0.786,0.789,50466434.4,1647129599999.0,40094234.3481,58866.0,23917073.5,19010620.7772,0.0,39.51841426925323,39.514128077272915,-0.04413246558788053,-0.032422379846122826,-0.011710085741757706,45.52479367219982,0,0,0.835509917355372,0.5992955689335543,0.016000000000000014,-1,1,1,-0.0038022813688213253,-468931127.1,-388271504.44783825,0,0,0,0,,0,0,0,0,0,0,0
2022-03-13 08:00:00,1647129600000.0,0.789,0.821,0.78,0.786,88733691.2,1647215999999.0,70913375.733,103707.0,46042469.1,36796812.4244,0.0,39.51841426925323,39.514128077272915,-0.045283246626123264,-0.03499455320212291,-0.01028869342400035,45.52479367219982,0,0,0.8265081141998498,0.5992955689335543,0.040999999999999925,-1,1,1,0.020356234096692072,-557664818.3000001,-410438996.2101584,0,0,0,0,,0,0,0,0,0,0,0
2022-03-14 08:00:00,1647216000000.0,0.787,0.816,0.776,0.802,104141955.4,1647302399999.0,83119494.6767,120976.0,51926380.5,41471664.3057,0.0,11.06382978723406,39.514128077272915,-0.044392454030716566,-0.03687413336784164,-0.0075183206628749236,45.52479367219982,0,0,0.8220520934362407,0.5992955689335543,0.039999999999999925,-1,1,1,-0.0024937655860348684,-453522862.9000001,-415883170.8357022,0,0,0,0,,0,0,0,0,0,0,0
2022-03-15 08:00:00,1647302400000.0,0.803,0.817,0.781,0.8,95462205.5,1647388799999.0,76242142.1216,110291.0,48441967.7,38720742.2487,0.0,11.9402985074627,39.514128077272915,-0.04334818685162922,-0.03816894406459916,-0.00517924278703006,30.945821241423886,0,1,0.8180426219023788,0.5992955689335543,0.03599999999999992,-1,1,1,0.047499999999999876,-548985068.4000001,-432194549.0234176,0,1,0,0,,0,0,1,0,0,0,-1
2022-03-16 08:00:00,1647388800000.0,0.8,0.84,0.792,0.838,160796978.5,1647475199999.0,130862784.2482,189728.0,80732980.2,65776082.9379,0.0,36.4705882352941,19.824905509996952,-0.03900469334263912,-0.038336093920207155,-0.0006685994224319633,42.86967496360782,0,1,0.8216712361019463,0.5992955689335543,0.04799999999999993,1,1,1,-0.0035799522673031214,-388188089.9000001,-426945007.94452465,1,1,0,0,,0,0,1,0,0,0,1
2022-03-17 08:00:00,1647475200000.0,0.839,0.858,0.827,0.835,106462948.2,1647561599999.0,89780881.3519,129730.0,52553825.8,44333156.4878,0.0,46.45669291338578,31.62252655204753,-0.0353964896721467,-0.03774817307059507,0.002351683398448365,42.24942067657572,0,1,0.8240946477197741,0.5992955689335543,0.031000000000000028,1,1,-1,0.01916167664670665,-494651038.1000001,-434831977.9973435,1,1,0,0,,0,0,1,0,0,0,-1
2022-03-18 08:00:00,1647561600000.0,0.835,0.86,0.82,0.851,82865732.3,1647647999999.0,69473720.7252,105638.0,40514774.7,33995529.5232,0.0,70.0934579439252,51.00691303086836,-0.03088981739843155,-0.03637650193616237,0.005486684537730817,46.680307257526486,0,1,0.8289865299525424,0.5992955689335543,0.040000000000000036,1,1,-1,0.06110458284371334,-411785305.8000001,-432203170.11296815,1,1,0,0,,0,0,1,0,1,0,1
2022-03-19 08:00:00,1647648000000.0,0.851,0.916,0.85,0.903,114266368.8,1647734399999.0,101043393.8596,196393.0,59954947.3,53007348.9732,0.0,90.71428571428571,69.08814552386556,-0.02285877994867258,-0.03367295753866441,0.010814177589991827,57.967533046394934,1,0,0.8424435245066256,0.5992955689335543,0.06600000000000006,1,1,-1,-0.02657807308970106,-297518937.00000006,-417124356.39674824,1,0,0,0,,0,0,0,0,1,0,1
2022-03-20 08:00:00,1647734400000.0,0.902,0.916,0.864,0.879,93008770.9,1647820799999.0,82605912.6887,155886.0,44617740.3,39650903.2287,0.0,73.57142857142856,78.12639074321315,-0.018220687588335283,-0.030582503548598584,0.012361815960263301,52.4489342265336,1,1,0.8490901564145119,0.5992955689335543,0.052000000000000046,1,1,-1,0.04323094425483509,-390527707.9000001,-414195645.3529576,1,0,0,0,,0,0,1,0,1,0,0
2022-03-21 08:00:00,1647820800000.0,0.879,0.93,0.863,0.917,115815047.2,1647907199999.0,104344596.3265,198250.0,58353607.0,52601332.14,0.0,91.55844155844154,85.28138528138527,-0.011347872347748145,-0.026735577308428498,0.015387704960680353,59.089904510637425,1,0,0.8614374007027824,0.5992955689335543,0.06700000000000006,1,1,-1,0.06324972737186463,-274712660.7000001,-399061526.7148493,1,0,0,0,,0,0,0,0,1,0,0
2022-03-22 08:00:00,1647907200000.0,0.917,0.988,0.907,0.975,172058469.4,1647993599999.0,164577626.0288,280866.0,88354357.0,84498976.3202,0.0,93.86792452830188,86.33259821939066,-0.0012070869330687017,-0.02162987923335654,0.02042279230028784,66.72791683533221,1,0,0.8820851460295491,0.5992955689335543,0.08099999999999996,1,1,-1,0.1364102564102565,-102654191.3000001,-367321851.78129673,1,0,0,0,,0,0,0,0,1,0,0
2022-03-23 08:00:00,1647993600000.0,0.975,1.11,0.957,1.108,362447245.1,1648079999999.0,376836453.7238,645078.0,189677928.7,197436607.6867,0.0,99.40119760479041,94.94252123051128,0.017361415450888984,-0.013831620296507434,0.031193035747396416,77.22744779928745,1,0,0.9231605740241765,0.5992955689335543,0.15300000000000014,1,1,-1,0.02075812274368216,259793053.79999992,-300955576.71988875,1,0,0,0,,0,0,0,0,1,0,0
2022-03-24 08:00:00,1648080000000.0,1.108,1.19,1.076,1.131,390982460.0,1648166399999.0,445651286.5284,702338.0,192422645.5,219300288.945,0.0,85.74879227053141,93.00597146787457,0.03354629435056078,-0.004356037367093792,0.03790233171765457,78.49148872603308,1,0,0.9609495605652353,0.5992955689335543,0.11399999999999988,1,1,-1,-0.030946065428823943,650775513.8,-201291270.31853464,1,0,0,0,,0,0,0,0,1,0,0
